City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
392,Canita,PA,77.5,overcast clouds,9.2097,-78.8811,Centro recreativo y turistico el mojao
404,Alwar Tirunagari,IN,88.02,broken clouds,8.6,77.95,Bright cafe
411,Kununurra,AU,89.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
413,Harper,LR,77.77,moderate rain,4.375,-7.7169,Screensaver
417,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
419,Miramar,US,82.02,scattered clouds,25.9873,-80.2323,Miramar
420,Culfa,AZ,76.87,clear sky,38.9558,45.6308,Hotel Araz
425,Wagar,SD,82.81,overcast clouds,16.1525,36.2032,
428,Mitsamiouli,KM,76.71,clear sky,-11.3847,43.2844,Foyer ADM
430,Colon,PA,78.03,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
432,Jiangyou,CN,84.15,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
433,Lorengau,PG,85.64,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
436,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
446,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
450,Huangcun,CN,87.87,overcast clouds,30.0145,118.4037,
452,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
453,Kashi,CN,76.21,clear sky,39.4547,75.9797,帕米尔青年旅舍
461,Sabang,ID,83.73,overcast clouds,5.8933,95.3214,Hotel Citra
464,Abu Kamal,SY,81.88,clear sky,34.4506,40.9171,محطة التلفاز
470,Gigmoto,PH,87.78,scattered clouds,13.7796,124.39,Cj's Travellers Inn
486,Shaping,CN,84.81,heavy intensity rain,22.7545,112.9565,Heshan Phoenix Hotel
487,Honiara,SB,84.85,broken clouds,-9.4333,159.95,Heritage Park Hotel
491,Komsomolskiy,UZ,81.82,clear sky,40.4272,71.7189,Ikathouse
492,Freetown,SL,76.75,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
496,Ambulu,ID,86.0,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
497,Auki,SB,83.91,broken clouds,-8.7676,160.7034,Auki Motel
498,Etchoropo,MX,82.83,broken clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
499,Banda Aceh,ID,86.0,overcast clouds,5.5577,95.3222,Sulthan Hotel International
504,Brownwood,US,83.97,few clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
505,Borba,BR,75.06,scattered clouds,-4.3878,-59.5939,Hotel da Amazônia
510,Aswan,EG,86.09,few clouds,24.0934,32.907,Nuba Nile
