City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Paita,PE,2021-06-14 03:00:47,-5.0892,-81.1144,68.27,83,52,9.13
106,Labuhan,ID,2021-06-14 03:00:47,-6.8844,112.2051,85.48,64,100,8.12
107,Omboue,GA,2021-06-14 03:00:48,-1.5746,9.2618,75.81,90,99,4.88
108,Iranshahr,IR,2021-06-14 03:00:48,27.2025,60.6848,98.78,32,1,2.82
109,Alice Springs,AU,2021-06-14 03:00:49,-23.7,133.8833,74.21,21,75,11.99
110,Busselton,AU,2021-06-14 03:00:49,-33.65,115.3333,53.1,66,99,21.61
111,Lasa,IT,2021-06-14 03:00:50,46.6166,10.7002,56.03,71,1,3.83
112,Chimoio,MZ,2021-06-14 03:00:50,-19.1164,33.4833,53.02,82,0,3.36
113,Saint-Pierre,RE,2021-06-14 03:00:51,-21.3393,55.4781,71.24,72,0,8.05
114,Natal,BR,2021-06-14 03:00:51,-5.795,-35.2094,74.41,89,28,5.99
115,Am Timan,TD,2021-06-14 03:00:51,11.0297,20.2827,81.19,60,100,10.31
116,Pevek,RU,2021-06-14 03:00:52,69.7008,170.3133,39.11,73,100,7.74
117,Chara,RU,2021-06-14 03:00:52,56.9064,118.2631,52.21,80,100,3.8
118,Teya,RU,2021-06-14 03:00:53,60.3778,92.6267,56.07,42,4,8.79
119,Ostrovnoy,RU,2021-06-14 03:00:53,68.0531,39.5131,48.88,92,100,8.23
120,Marienburg,PL,2021-06-14 03:00:54,54.0359,19.0266,52.77,88,10,5.06
121,Tuatapere,NZ,2021-06-14 03:00:54,-46.1333,167.6833,49.82,92,100,2.24
122,Hobart,AU,2021-06-14 03:00:55,-42.8794,147.3294,59.02,88,40,1.01
123,Puerto Ayora,EC,2021-06-14 03:00:55,-0.7393,-90.3518,72.79,74,94,9.37
124,Egvekinot,RU,2021-06-14 03:00:55,66.3167,-179.1667,43.23,61,100,9.24
125,Caravelas,BR,2021-06-14 03:00:26,-17.7125,-39.2481,70.02,83,45,8.5
126,Norman Wells,CA,2021-06-14 03:00:56,65.282,-126.8329,47.16,87,87,10.56
127,Mataura,NZ,2021-06-14 03:00:56,-46.1927,168.8643,49.48,91,97,3.13
128,Mulchen,CL,2021-06-14 03:00:57,-37.7167,-72.2333,44.89,87,100,9.51
129,Khatanga,RU,2021-06-14 03:00:15,71.9667,102.5,38.25,96,100,16.13
130,Avera,US,2021-06-14 03:00:58,33.194,-82.5271,74.86,84,63,4.45
131,Upernavik,GL,2021-06-14 03:00:58,72.7868,-56.1549,34.79,78,100,5.06
132,Neryungri,RU,2021-06-14 03:00:58,56.6709,124.6491,56.48,94,100,5.75
133,Lima,PE,2021-06-14 02:57:37,-12.0432,-77.0282,62.85,82,40,5.75
134,Comodoro Rivadavia,AR,2021-06-14 03:00:59,-45.8667,-67.5,40.77,75,100,19.89
135,Homer,US,2021-06-14 03:00:59,59.6425,-151.5483,65.08,75,22,11.99
136,Quatre Cocos,MU,2021-06-14 03:01:00,-20.2078,57.7625,73.09,61,83,15.55
137,Carutapera,BR,2021-06-14 03:01:01,-1.195,-46.02,74.98,94,51,5.44
138,Cayenne,GF,2021-06-14 03:00:07,4.9333,-52.3333,75.99,100,90,5.82
139,Rio Gallegos,AR,2021-06-14 03:01:01,-51.6226,-69.2181,33.6,89,38,16.51
140,Cidreira,BR,2021-06-14 03:01:02,-30.1811,-50.2056,59.56,79,0,13.4
141,Bansang,GM,2021-06-14 03:01:03,13.4333,-14.65,80.58,68,100,10.42
142,Emba,KZ,2021-06-14 03:01:03,48.8264,58.1442,74.61,23,97,21.09
143,Rodrigues Alves,BR,2021-06-14 03:01:04,-7.738,-72.6509,71.47,85,52,0.65
144,San Cristobal,VE,2021-06-14 03:01:04,7.7669,-72.225,66.16,95,100,2.68
145,Karratha,AU,2021-06-14 03:01:05,-20.7377,116.8463,77.5,31,5,16.44
146,Katsuura,JP,2021-06-14 03:01:06,35.1333,140.3,76.19,79,97,11.1
147,East London,ZA,2021-06-14 03:01:06,-33.0153,27.9116,62.13,76,60,12.12
148,Guilin,CN,2021-06-14 03:01:06,25.2819,110.2864,85.41,73,77,8.59
149,Kidal,ML,2021-06-14 03:01:07,18.4411,1.4078,85.64,34,0,1.72
150,Dicabisagan,PH,2021-06-14 03:01:07,17.0818,122.4157,88.07,63,36,6.69
151,Hobyo,SO,2021-06-14 03:01:08,5.3505,48.5268,76.77,88,98,20.8
152,Felipe Carrillo Puerto,MX,2021-06-14 03:01:09,19.5833,-88.05,72.86,98,84,2.33
153,Mount Abu,IN,2021-06-14 03:01:09,24.6,72.7,76.41,58,8,13.51
154,Mount Gambier,AU,2021-06-14 03:00:42,-37.8333,140.7667,58.57,58,87,8.5
155,Kropotkin,RU,2021-06-14 03:01:10,45.4375,40.5756,63.46,87,6,2.75
156,Alofi,NU,2021-06-14 03:01:10,-19.0595,-169.9187,77.22,74,63,24.43
157,Mandalgovi,MN,2021-06-14 03:01:11,45.7625,106.2708,68.11,31,96,4.45
158,Viedma,AR,2021-06-14 02:58:05,-40.8135,-62.9967,47.19,83,100,8.23
159,Flinders,AU,2021-06-14 03:01:11,-34.5833,150.8552,67.17,62,80,4.0
160,Esmeralda,CU,2021-06-14 03:01:12,21.8525,-78.1169,77.18,87,100,1.3
161,Torbay,CA,2021-06-14 03:01:12,47.6666,-52.7314,47.68,87,50,7.0
162,Severo-Kurilsk,RU,2021-06-14 03:01:13,50.6789,156.125,43.95,94,100,15.57
163,Sisimiut,GL,2021-06-14 03:01:13,66.9395,-53.6735,36.01,76,93,4.12
164,Rawson,AR,2021-06-14 02:58:56,-43.3002,-65.1023,46.44,51,56,15.84
165,West Fargo,US,2021-06-14 02:57:02,46.875,-96.9004,73.45,38,1,0.0
166,Mastic Beach,US,2021-06-14 03:01:14,40.7668,-72.8521,66.54,86,90,8.99
167,Zhigansk,RU,2021-06-14 03:01:15,66.7697,123.3711,56.71,69,100,3.91
168,Istmina,CO,2021-06-14 03:01:16,5.1605,-76.684,72.93,98,100,1.77
169,Nioro,GM,2021-06-14 03:01:16,13.35,-15.75,80.35,65,100,11.68
170,Saldanha,ZA,2021-06-14 03:00:43,-33.0117,17.9442,53.38,85,57,5.66
171,Mackay,AU,2021-06-14 03:01:17,-21.15,149.2,83.68,82,26,5.48
172,High Level,CA,2021-06-14 03:01:17,58.5169,-117.136,70.74,40,59,1.59
173,Virginia Beach,US,2021-06-14 02:58:32,36.8529,-75.978,70.02,85,95,7.45
174,Anadyr,RU,2021-06-14 03:01:18,64.75,177.4833,48.0,61,100,7.34
175,Mao,ES,2021-06-14 03:01:18,39.8885,4.2658,68.56,73,0,2.3
176,Tura,IN,2021-06-14 03:01:19,25.5198,90.2201,83.08,76,95,6.29
177,Port-Gentil,GA,2021-06-14 03:01:19,-0.7193,8.7815,77.13,87,74,14.47
178,Flin Flon,CA,2021-06-14 03:01:00,54.7682,-101.865,63.01,56,12,4.18
179,Ginir,ET,2021-06-14 03:01:20,7.1333,40.7,53.1,85,99,5.3
180,Hoa Binh,VN,2021-06-14 03:01:21,20.8133,105.3383,85.89,82,99,1.25
181,Geraldton,AU,2021-06-14 03:01:21,-28.7667,114.6,67.12,82,75,12.66
182,Yellowknife,CA,2021-06-14 03:01:22,62.456,-114.3525,62.38,58,7,12.5
183,Chivilcoy,AR,2021-06-14 03:01:22,-34.8957,-60.0167,53.02,65,7,1.99
184,Mayo,US,2021-06-14 03:01:23,38.8876,-76.5119,71.82,85,72,1.01
185,Sao Filipe,CV,2021-06-14 03:01:23,14.8961,-24.4956,74.84,86,83,11.86
186,Businga,CD,2021-06-14 03:01:23,3.3333,20.8833,69.87,94,100,1.86
187,Esperance,AU,2021-06-14 03:01:24,-33.8667,121.9,60.64,69,48,28.77
188,Khuzhir,RU,2021-06-14 03:01:24,53.1939,107.3397,48.78,78,45,6.49
189,Sorland,NO,2021-06-14 03:01:25,67.667,12.6934,45.1,69,91,6.31
190,Leopold,AU,2021-06-14 03:01:25,-38.1833,144.4667,60.19,78,90,4.61
191,Bekhtery,UA,2021-06-14 03:01:25,46.251,32.2927,66.63,84,93,5.79
192,Lichuan,CN,2021-06-14 03:01:26,30.3,108.85,77.2,70,95,7.81
193,Sheridan,US,2021-06-14 03:01:26,44.8333,-106.9173,77.02,52,1,1.99
194,Bengkulu,ID,2021-06-14 03:00:03,-3.8004,102.2655,83.7,64,97,3.29
195,Gari,RU,2021-06-14 03:01:27,59.4307,62.3497,69.06,53,97,8.9
196,Aklavik,CA,2021-06-14 03:01:27,68.2191,-135.0107,49.6,63,97,16.6
197,Motegi,JP,2021-06-14 03:01:28,36.5167,140.1833,82.04,51,100,4.79
198,Sorong,ID,2021-06-14 03:01:28,-0.8833,131.25,81.12,78,99,3.42
199,Raga,SS,2021-06-14 03:01:29,8.4596,25.678,68.77,94,97,3.85
200,Vidim,RU,2021-06-14 03:01:29,56.4088,103.1106,59.49,56,100,11.34
201,Avarua,CK,2021-06-14 03:01:29,-21.2078,-159.775,75.25,69,40,13.8
202,Sandnessjoen,NO,2021-06-14 03:01:30,66.0217,12.6316,49.98,87,100,29.42
203,Muros,ES,2021-06-14 03:01:30,42.7762,-9.0603,68.5,92,48,5.26
204,Iqaluit,CA,2021-06-14 03:01:31,63.7506,-68.5145,34.7,80,46,13.0
205,Dikson,RU,2021-06-14 03:01:31,73.5069,80.5464,32.36,99,100,10.87
206,New Norfolk,AU,2021-06-14 03:01:32,-42.7826,147.0587,58.66,85,97,1.28
207,Portland,US,2021-06-14 02:58:42,45.5234,-122.6762,64.85,93,100,1.01
208,Layou,VC,2021-06-14 03:01:32,13.2,-61.2667,77.83,84,99,15.59
209,Shadegan,IR,2021-06-14 03:01:33,30.6497,48.6647,90.97,14,0,18.05
210,Beringovskiy,RU,2021-06-14 03:01:33,63.05,179.3167,34.05,98,100,15.46
211,Cap Malheureux,MU,2021-06-14 03:01:34,-19.9842,57.6142,73.47,66,23,7.0
212,Yulara,AU,2021-06-14 03:01:34,-25.2406,130.9889,68.23,33,1,6.69
213,Husavik,IS,2021-06-14 03:01:35,66.0449,-17.3389,34.63,87,100,8.48
214,Kimparana,ML,2021-06-14 03:01:35,12.8347,-4.9244,90.3,40,95,10.36
215,Cabo San Lucas,MX,2021-06-14 03:00:10,22.8909,-109.9124,84.51,80,70,6.85
216,Kavieng,PG,2021-06-14 03:01:36,-2.5744,150.7967,85.41,64,9,10.2
217,Armenia,AM,2021-06-14 03:01:36,40.0,45.0,48.72,61,0,3.29
218,Seaford,GB,2021-06-14 03:01:36,50.7714,0.1027,61.43,89,5,4.0
219,Loksa,EE,2021-06-14 03:01:37,59.5764,25.7214,55.92,80,48,8.52
220,Gornopravdinsk,RU,2021-06-14 03:01:37,60.05,69.9,72.41,47,98,7.38
221,Korla,CN,2021-06-14 03:01:38,41.7597,86.1469,72.16,28,100,16.11
222,Ahipara,NZ,2021-06-14 03:01:38,-35.1667,173.1667,63.25,90,69,7.61
223,Ponta Do Sol,PT,2021-06-14 03:01:39,32.6667,-17.1,70.43,75,91,6.13
